t,bid,ask,mid,book_bid,book_ask,inventory,cash,pnl,spread
32,99.028074,100.148074,99.888074,99.838074,99.938074,6.000000,-594.578388,4.750054,1.120000
33,99.123767,100.243767,99.983767,99.933767,100.033767,5.000000,-494.334622,5.584211,1.120000
34,99.253936,100.353936,100.053936,100.003936,100.103936,6.000000,-593.588558,6.735057,1.100000
35,99.304354,100.424354,100.164354,100.114354,100.214354,5.000000,-493.164203,7.657567,1.120000
36,99.341774,100.441774,100.141774,100.091774,100.191774,4.000000,-392.722429,7.844667,1.100000
37,99.256940,100.336940,99.996940,99.946940,100.046940,3.000000,-292.385489,7.605332,1.080000
38,99.199633,100.259633,99.879633,99.829633,99.929633,3.000000,-292.385489,7.253411,1.060000
39,99.263225,100.323225,99.943225,99.893225,99.993225,4.000000,-391.648714,8.124185,1.060000
40,99.223588,100.303588,99.963588,99.913588,100.013588,4.000000,-391.648714,8.205638,1.080000
41,99.314801,100.394801,100.054801,100.004801,100.104801,4.000000,-391.648714,8.570491,1.080000
42,99.094756,100.174756,99.834756,99.784756,99.884756,5.000000,-490.743470,8.430311,1.080000
43,99.168650,100.268650,99.968650,99.918650,100.018650,6.000000,-589.912120,9.899783,1.100000
44,99.057038,100.177038,99.917038,99.867038,99.967038,7.000000,-688.969159,10.450110,1.120000
45,99.109656,100.249656,100.029656,99.979656,100.079656,7.000000,-688.969159,11.238435,1.140000
46,99.237144,100.377144,100.157144,100.107144,100.207144,8.000000,-788.206303,13.050853,1.140000
47,98.980446,100.140446,99.960446,99.910446,100.010446,9.000000,-887.186749,12.457264,1.160000
48,98.723953,99.903953,99.763953,99.713953,99.813953,9.000000,-887.186749,10.688831,1.180000
49,99.165503,100.345503,100.205503,100.155503,100.255503,10.000000,-986.352252,15.702777,1.180000
50,99.033034,100.233034,100.133034,100.083034,100.183034,10.000000,-986.352252,14.978093,1.200000
51,98.947560,100.147560,100.047560,99.997560,100.097560,11.000000,-1085.299812,15.223350,1.200000
52,98.608158,100.133158,99.920658,99.870658,99.970658,11.000000,-1085.299812,13.827422,1.525000
53,98.484784,100.009784,99.797284,99.747284,99.847284,11.000000,-1085.299812,12.470315,1.525000
54,98.418519,99.943519,99.731019,99.681019,99.781019,10.000000,-985.356292,11.953901,1.525000
55,98.618395,99.818395,99.718395,99.668395,99.768395,10.000000,-985.356292,11.827653,1.200000
56,98.243581,99.443581,99.343581,99.293581,99.393581,10.000000,-985.356292,8.079514,1.200000
57,98.465630,99.665630,99.565630,99.515630,99.615630,10.000000,-985.356292,10.300007,1.200000
58,98.433481,99.633481,99.533481,99.483481,99.583481,9.000000,-885.722811,10.078520,1.200000
59,98.390102,99.570102,99.430102,99.380102,99.480102,8.000000,-786.152709,9.288108,1.180000
60,98.632810,99.792810,99.612810,99.562810,99.662810,8.000000,-786.152709,10.749769,1.160000
61,98.574391,99.734391,99.554391,99.504391,99.604391,7.000000,-686.418318,10.462419,1.160000
62,98.752842,99.892842,99.672842,99.622842,99.722842,8.000000,-785.171160,12.211576,1.140000
63,98.757565,99.917565,99.737565,99.687565,99.787565,8.000000,-785.171160,12.729363,1.160000
64,98.677141,99.837141,99.657141,99.607141,99.707141,7.000000,-685.334019,12.265971,1.160000
65,98.901621,100.041621,99.821621,99.771621,99.871621,6.000000,-585.292398,13.637326,1.140000
66,99.033918,100.153918,99.893918,99.843918,99.943918,6.000000,-585.292398,14.071107,1.120000
67,99.172886,100.292886,100.032886,99.982886,100.082886,5.000000,-484.999512,15.164918,1.120000
68,99.078729,100.178729,99.878729,99.828729,99.928729,4.000000,-384.820783,14.694135,1.100000
69,99.249915,100.329915,99.989915,99.939915,100.039915,5.000000,-484.070698,15.878879,1.080000
70,99.339988,100.439988,100.139988,100.089988,100.189988,6.000000,-583.410686,17.429243,1.100000
71,99.302851,100.422851,100.162851,100.112851,100.212851,6.000000,-583.410686,17.566422,1.120000
72,99.319158,100.439158,100.179158,100.129158,100.229158,5.000000,-482.971528,17.924263,1.120000
73,99.395023,100.495023,100.195023,100.145023,100.245023,5.000000,-482.971528,18.003586,1.100000
74,99.523122,100.623122,100.323122,100.273122,100.373122,4.000000,-382.348406,18.944084,1.100000
75,99.851412,100.931412,100.591412,100.541412,100.641412,4.000000,-382.348406,20.017240,1.080000
76,99.703604,100.783604,100.443604,100.393604,100.493604,5.000000,-482.052010,20.166011,1.080000
77,99.479513,100.579513,100.279513,100.229513,100.329513,5.000000,-482.052010,19.345556,1.100000
78,99.280002,100.380002,100.080002,100.030002,100.130002,4.000000,-381.672008,18.648000,1.100000
79,99.336209,100.416209,100.076209,100.026209,100.126209,4.000000,-381.672008,18.632828,1.080000
80,99.398927,100.478927,100.138927,100.088927,100.188927,3.000000,-281.193081,19.223699,1.080000
81,99.175948,100.235948,99.855948,99.805948,99.905948,2.000000,-180.957134,18.754761,1.060000
